id,name,description,dichotomous,group,PMID example,PMID in GWAS CATALOG?,complex traits,Relation,EFO_term,API_EFO_ID,EFO_id,comments,supported by OLS,supported by Zooma,GWAS catalog UI search,Lizzy's suggestion,suggestion applied,Maria's suggestion,import_new_terms
4201,eGFRcreaInDiabetes,eGFRcreat in individuals with diabetes,0,RENAL,26831199,yes,complex,,"creatinine measurement, glomerular filtration rate, diabetes mellitus","EFO_0004518,EFO_0005208,EFO_0000400","EFO_0004518,EFO_0005208,EFO_0000400",,No,no,yes,,,ok,N
3624,MeanCorpVol,Mean corpuscular volume,0,HEMATOLOGICAL,,,simple,Exact match,mean corpuscular volume,EFO_0004526,EFO_0004526,,Yes,Yes,,,,ok,N
3623,MeanCorpHb,Mean corpuscular hemoglobin,0,HEMATOLOGICAL,,,simple,Exact match,mean corpuscular hemoglobin,EFO_0004527,EFO_0004527,,Yes,Yes,,,,ok,N
3625,MeanCorpHbConc,Mean corpuscular hemoglobin concentration,0,HEMATOLOGICAL,,,simple,Exact match,mean corpuscular hemoglobin concentration,EFO_0004528,EFO_0004528,,Yes,Yes,,,,ok,N
330,LOG_TG,Log triglyceride level,0,LIPIDS,,,simple,Match to parent,triglyceride measurement,EFO_0004530,EFO_0004530,,Yes,no,,,,ok,N
3967,TGnonT2D,Triglyceride levels in individuals without type 2 diabetes,0,LIPIDS,36269708,yes,complex,,triglyceride measurement,EFO_0004530,EFO_0004530,,Yes,Yes,yes,,,ok,N
3209,TG,Triglycerides,0,LIPIDS,,,simple,Exact match,triglyceride measurement,EFO_0004530,EFO_0004530,,No,Yes,,,,ok,N
3966,TGinT2D,Triglyceride levels in individuals with type 2 diabetes,0,LIPIDS,36269708,yes,complex,,"triglyceride measurement, type 2 diabetes mellitus","EFO_0004530,MONDO_0005148","EFO_0004530,MONDO_0005148",,Yes,Yes,yes,add: type 2 diabetes mellitus - MONDO_0005148,yes,ok,N
3217,Urate,Serum urate,0,RENAL,,,simple,Match to parent,urate measurement,EFO_0004531,EFO_0004531,,No,Yes,,,,ok,N
3137,GGT,Gamma-glutamyl transferase (GGT),0,HEPATIC,,,simple,Exact match,serum gamma-glutamyl transferase measurement,EFO_0004532,EFO_0004532,,Yes,Yes,,,,ok,N
3082,ALP,Alkaline phosphatase (ALP),0,HEPATIC,,,simple,Exact match,alkaline phosphatase measurement,EFO_0004533,EFO_0004533,,Yes,Yes,,,,ok,N
3229,CK,Creatine kinase,0,CARDIOVASCULAR,,,simple,Exact match,creatine kinase measurement,EFO_0004534,EFO_0004534,,Yes,Yes,,,,ok,N
3271,Alb,Serum albumin,0,HEPATIC,,,simple,Exact match,serum albumin measurement,EFO_0004535,EFO_0004535,,Yes,Yes,,,,ok,N
4016,TotalProtein,Total plasma protein,0,HEMATOLOGICAL,,,simple,Match to parent,total blood protein measurement,EFO_0004536,EFO_0004536,,Yes,no,,,,ok,N
3138,HBA1C,HbA1c,0,GLYCEMIC,,,simple,Exact match,HbA1c measurement,EFO_0004541,EFO_0004541,,Yes,Yes,,,,ok,N
3317,HBA1CadjBMI,HbA1c adj BMI,0,GLYCEMIC,,,simple,Match to parent,HbA1c measurement,EFO_0004541,EFO_0004541,,Yes,Yes,,,,ok,N
327,HBA1CMMOL,HbA1c (mmol per L),0,GLYCEMIC,,,simple,Exact match,HbA1c measurement,EFO_0004541,EFO_0004541,,No,Yes,,,,ok,N
3289,Gp,Glycoproteins,0,METABOLITE,,,simple,Exact match,glycoprotein measurement,EFO_0004555,EFO_0004555,,No,Yes,,,,ok,N
3274,BILIRUBIN,Total bilirubin,0,HEPATIC,,,simple,Match to parent,bilirubin measurement,EFO_0004570,EFO_0004570,,Yes,Yes,,,yes,Change to 'Match to parent' (bilirubin measurements can be total or direct),N
3994,DirectBilirubin,Direct bilirubin,0,HEPATIC,35147782,,simple,Match to parent,bilirubin measurement,EFO_0004570,EFO_0004570,,Yes,Yes,,,,ok,N
3105,CHOL,Total cholesterol,0,LIPIDS,,,simple,Exact match,total cholesterol measurement,EFO_0004574,EFO_0004574,,Yes,Yes,,,,ok,N
3634,PlatVol,Mean platelet volume,0,HEMATOLOGICAL,,,simple,Exact match,mean platelet volume,EFO_0004584,EFO_0004584,,Yes,Yes,,,,ok,N
3629,LymphoCount,Lymphocyte count,0,HEMATOLOGICAL,,,simple,Exact match,lymphocyte count,EFO_0004587,EFO_0004587,,Yes,Yes,,,,ok,N
3835,GDM,Gestational diabetes,1,REPRODUCTIVE TRAITS,,,simple,Exact match,gestational diabetes,EFO_0004593,EFO_0004593,,Yes,no,,,,ok,N
3836,GDM_abnormal_gluc,Gestational diabetes or abnormal glucose tolerance in pregnancy,1,REPRODUCTIVE TRAITS,34737426,yes,complex,,"gestational diabetes, abnormal glucose tolerance, ",,"EFO_0004593,EFO_0002546",,Yes,Yes,yes,,yes,Remove pregnancy (EFO_0002950) (it's implicit in gestational diabetes),N
4492,Meconium_ileus_inCF,Meconium ileus in cystic fibrosis,1,DIGESTIVE,30807572,yes,complex,Exact match,cystic fibrosis associated meconium ileus,EFO_0004608,EFO_0004608,,No,Yes,yes,,,ok,N
3162,LDL,LDL cholesterol,0,LIPIDS,,,simple,Exact match,low density lipoprotein cholesterol measurement,EFO_0004611,EFO_0004611,,No,Yes,,,,ok,N
329,LDL_CALCULATED,Calculated LDL cholesterol,0,LIPIDS,,,simple,Match to parent,low density lipoprotein cholesterol measurement,EFO_0004611,EFO_0004611,,No,Yes,,,,ok,N
3290,HDL2chol,HDL2 cholesterol,0,LIPIDS,,,simple,Match to parent,high density lipoprotein cholesterol measurement,EFO_0004612,EFO_0004612,,No,no,Yes,,,ok,N
3291,HDL3chol,HDL3 cholesterol,0,LIPIDS,,,simple,Match to parent,high density lipoprotein cholesterol measurement,EFO_0004612,EFO_0004612,,No,no,Yes,,,ok,N
3141,HDL,HDL cholesterol,0,LIPIDS,,,simple,Exact match,high density lipoprotein cholesterol measurement,EFO_0004612,EFO_0004612,,No,Yes,,,,ok,N
3272,ApoA1,Serum ApoA1,0,LIPIDS,,,simple,Exact match,apolipoprotein A 1 measurement,EFO_0004614,EFO_0004614,,No,no,No,,,ok,N
3273,ApoB,Serum ApoB,0,LIPIDS,,,simple,Exact match,apolipoprotein B measurement,EFO_0004615,EFO_0004615,,No,no,No,apolipoprotein B measurement - EFO_0004615,yes,Accept Lizzy's suggestion,N
4196,KneeOAnoreplacement,Knee osteoarthritis without joint replacement,1,MUSCULOSKELETAL,36376028,yes,complex,Match to parent,"osteoarthritis, knee",EFO_0004616,EFO_0004616,,Yes,Yes,yes,,,ok,N
345,KNEEOA,Knee osteoarthritis,1,MUSCULOSKELETAL,,,simple,Exact match,"osteoarthritis, knee",EFO_0004616,EFO_0004616,,Yes,Yes,,,,ok,N
4195,KneeOAreplacement,Knee osteoarthritis with joint replacement,1,MUSCULOSKELETAL,36376028,yes,complex,Match to parent,"osteoarthritis, knee; total joint arthroplasty","EFO_0004616, EFO_0010726","EFO_0004616, EFO_0010726",,Yes,Yes,yes,add: total joint arthroplasty - EFO_0010726,yes,Accept Lizzy's suggestion,N
3993,CystatinC,Cystatin C,0,RENAL,,,simple,Exact match,cystatin C measurement,EFO_0004617,EFO_0004617,,Yes,Yes,,,,ok,N
3241,Fbg,Fibrinogen,0,HEMATOLOGICAL,,,simple,Exact match,fibrinogen measurement,EFO_0004623,EFO_0004623,,Yes,Yes,,,,ok,N
3312,VitD,Vitamin D levels,0,METABOLITE,,,simple,Exact match,vitamin D measurement,EFO_0004631,EFO_0004631,,No,Yes,,,,ok,N
3970,MDinCSVD,Mean diffusivity in cerebral small vessel disease,0,CEREBROVASCULAR MRI TRAITS,32358547,yes,complex,,"white matter integrity, cerebral small vessel disease
","EFO_0004641,EFO_0008493","EFO_0004641,EFO_0008493",,Yes,no,yes,,,ok,N
3874,QTc,Corrected QT interval (QTc),0,ECG TRAITS,34319147,yes,simple,Exact match,QT interval,EFO_0004682,EFO_0004682,,No,Yes,yes,,,ok,N
3177,ND,Neovascular age-related macular degeneration,1,OCULAR,,,simple,Exact match,wet macular degeneration,EFO_0004683,EFO_0004683,,No,no,Yes,,,ok,N
4266,Intraocular_pressure,Intraocular pressure,0,OCULAR,28073927,yes,simple,Exact match,intraocular pressure measurement,EFO_0004695,EFO_0004695,,Yes,Yes,yes,,,ok,N
4014,SHBG,Sex hormone binding globulin (SHBG) levels,0,REPRODUCTIVE TRAITS,,,simple,Exact match,sex hormone-binding globulin measurement,EFO_0004696,EFO_0004696,,Yes,no,,,yes,"change to sex hormone-binding globulin measurement, EFO_0004696",N
4314,SHBGadjBMI,Sex hormone-binding globulin levels adj BMI,0,REPRODUCTIVE TRAITS,32042192,yes,simple,Exact match - adjusted,sex hormone-binding globulin measurement,EFO_0004696,EFO_0004696,,Yes,Yes,yes,,,ok,N
4260,Estradiol,Estradiol levels,0,REPRODUCTIVE TRAITS,32042192,yes,simple,Exact match,estradiol measurement,EFO_0004697,EFO_0004697,,Yes,Yes,yes,,,ok,N
4432,Insomnia,Insomnia,1,SLEEP AND CIRCADIAN,,,simple,Exact match,insomnia,EFO_0004698,EFO_0004698,,Yes,Yes,,,,ok,N
3194,SleepInsomnia,Frequent insomnia symptoms,1,SLEEP AND CIRCADIAN,,,simple,Exact match,insomnia,EFO_0004698,EFO_0004698,,No,Yes,,,,ok,N
4431,SleepInsomnia_ICD,Insomnia (ICD defined),1,SLEEP AND CIRCADIAN,,,simple,Exact match,insomnia,EFO_0004698,EFO_0004698,,Yes,Yes,,,,ok,N
3239,Men,Age at menarche,0,REPRODUCTIVE TRAITS,,,simple,Exact match,age at menarche,EFO_0004703,EFO_0004703,,Yes,Yes,,,,ok,N
3240,MP,Age at natural menopause (ANM),0,REPRODUCTIVE TRAITS,,,simple,Exact match,age at menopause,EFO_0004704,EFO_0004704,,Yes,Yes,,,,ok,N
286,Thyroid,Hypothyroidism,1,GLYCEMIC,,,simple,Exact match,hypothyroidism,EFO_0004705,EFO_0004705,,Yes,Yes,,,,ok,N
3333,FEV1toFVC,FEV1 to FVC ratio,0,LUNG,,,simple,Exact match,FEV/FEC ratio,EFO_0004713,EFO_0004713,,Yes,Yes,,,,ok,N
4467,CAC,Conorary artery calcification,0,CARDIOVASCULAR,,,simple,Exact match,coronary artery calcification,EFO_0004723,EFO_0004723,,Yes,Yes,,,,ok,N
3991,ApoA,Serum ApoA,0,LIPIDS,,,simple,request new term,lipoprotein measurement,EFO_0004732,EFO_0004732,,No,Yes,,,yes,"Apo A1 is a sub-type of ApoA, so 'ApoA1 measurement' isn't a parent term. Change instead to 'lipoprotein measurement', EFO_0004732, Match to parent, and request new ApoA term","Y, ApoA term"
3084,ALT,Alanine transaminase (ALT),0,HEPATIC,,,simple,Exact match,serum alanine aminotransferase measurement,EFO_0004735,EFO_0004735,,Yes,Yes,,,,ok,N
3086,AST,Aspartate aminotransferase (AST),0,HEPATIC,,,simple,Exact match,aspartate aminotransferase measurement,EFO_0004736,EFO_0004736,,Yes,Yes,,,,ok,N
3236,BUN,Blood urea nitrogen,0,RENAL,,,simple,Exact match,blood urea nitrogen measurement,EFO_0004741,EFO_0004741,,Yes,Yes,,,,ok,N
4500,TSH,Thyroid stimulating hormone levels,0,GLYCEMIC,32769997,yes,simple,Exact match,thyroid stimulating hormone measurement,EFO_0004748,EFO_0004748,,Yes,Yes,yes,,,ok,N
4478,t_Tau,Total tau,0,NEUROLOGICAL,37539664,yes,simple,Exact match,t-tau measurement,EFO_0004760,EFO_0004760,,No,no,yes,,,ok,N
3237,UA,Uric acid,0,RENAL,,,simple,Exact match,uric acid measurement,EFO_0004761,EFO_0004761,,Yes,Yes,,,,ok,N
4477,p_Tau,Phosphorylated tau,0,NEUROLOGICAL,37539664,yes,simple,Exact match,p-tau measurement,EFO_0004763,EFO_0004763,,No,no,yes,,,ok,N
3922,VATadjBMIHeight,VAT adjusted for BMI and height,0,ANTHROPOMETRIC,35773277,yes,complex,Exact match - adjusted,visceral adipose tissue measurement,EFO_0004765,EFO_0004765,,No,no,yes,,,ok,N
3976,VAT,Visceral adipose tissue volume,0,ANTHROPOMETRIC,,,simple,Exact match,visceral adipose tissue measurement,EFO_0004765,EFO_0004765,,Yes,Yes,,,,ok,N
3975,SAT,Subcutaneous adipose tissue volume,0,ANTHROPOMETRIC,,,simple,Exact match,subcutaneous adipose tissue measurement,EFO_0004766,EFO_0004766,,Yes,Yes,,,,ok,N
4333,SRH,Self-rated health,0,AGING AND LONGEVITY,,,simple,Exact match,self rated health,EFO_0004778,EFO_0004778,,Yes,Yes,,,,ok,N
4259,DNAme_PAI1,DNA methylation-estimated plasminogen activator inhibitor-1 levels,0,AGING AND LONGEVITY,34187551,yes,simple,Match to parent,plasminogen activator inhibitor 1 measurement,EFO_0004792,EFO_0004792,,Yes,Yes,yes,,,ok,N
3197,SleepShort,Short sleep duration,1,SLEEP AND CIRCADIAN,,,simple,Match to parent,short sleep,EFO_0004807,EFO_0004807,,Yes,no,,short sleep - EFO_0004807,yes,Accept Lizzy's suggestion,N
3243,LDH,Lactate dehydrogenase (LDH),0,METABOLITE,,,simple,Exact match,L lactate dehydrogenase measurement,EFO_0004808,EFO_0004808,,No,Yes,,,,ok,N
3873,RRinterval,RR interval,0,ECG TRAITS,,,simple,Exact match,RR interval,EFO_0004831,EFO_0004831,,Yes,Yes,,,,ok,N
3628,NeutCount,Neutrophil count,0,HEMATOLOGICAL,,,simple,Exact match,neutrophil count,EFO_0004833,EFO_0004833,,Yes,Yes,,,,ok,N
3231,Ca,Calcium,0,METABOLITE,,,simple,Exact match,calcium measurement,EFO_0004838,EFO_0004838,,Yes,Yes,,,,ok,N
3632,EosinCount,Eosinophil count,0,HEMATOLOGICAL,,,simple,Exact match,eosinophil count,EFO_0004842,EFO_0004842,,Yes,Yes,,,,ok,N
3338,TotHipArea,Total hip area,0,MUSCULOSKELETAL,,,simple,Exact match,hip bone size,EFO_0004844,EFO_0004844,,No,no,No,,,ok,N
4215,AAC,Abdominal aortic calcification,0,CARDIOVASCULAR,,,simple,Exact match,abdominal aortic artery calcification,EFO_0004859,EFO_0004859,,Yes,no,,,,ok,N
3235,P,Phosphorus,0,METABOLITE,,,simple,Exact match,phosphorus measurement,EFO_0004861,EFO_0004861,,Yes,no,,,,ok,N
3252,MeanSleepDiurnalInactRN,"Diurnal inactivity duration, rank-normalized",0,SLEEP AND CIRCADIAN,,,simple,Match to parent,sleep measurement,EFO_0004870,EFO_0004870,,No,no,No,,,ok,N
3258,MeanSleepL5timeRN,"Least-active 5 hour timing, rank-normalized",0,SLEEP AND CIRCADIAN,,,simple,Match to parent,sleep measurement,EFO_0004870,EFO_0004870,,No,no,No,,,ok,N
3260,MeanSleepM10timeRN,"Most-active 10 hour timing, rank-normalized",0,SLEEP AND CIRCADIAN,,,simple,Match to parent,sleep measurement,EFO_0004870,EFO_0004870,,No,no,No,,,ok,N
3262,MeanSleepMidPointRN,"Sleep midpoint timing, rank-normalized",0,SLEEP AND CIRCADIAN,,,simple,Match to parent,sleep measurement,EFO_0004870,EFO_0004870,,No,no,No,,,ok,N
3264,MeanSleepNumEpisodesRN,"Number of sleep episodes, rank-normalized",0,SLEEP AND CIRCADIAN,,,simple,Match to parent,sleep measurement,EFO_0004870,EFO_0004870,,No,no,No,,,ok,N
314,RA,Low relative amplitude cases vs controls,1,SLEEP AND CIRCADIAN,30120083,yes,complex,Exact match,sleep measurement,EFO_0004870,EFO_0004870,,No,no,yes,,yes,"Change to sleep measurement, EFO_0004870",N
315,RAQT,Relative amplitude,0,SLEEP AND CIRCADIAN,30120083,yes,simple,Match to parent,sleep measurement,EFO_0004870,EFO_0004870,,No,no,yes,,yes,"Change to sleep measurement, EFO_0004870",N
4276,MemPerformance,Memory performance,0,COGNITIVE,,,simple,Exact match,memory performance,EFO_0004874,EFO_0004874,,Yes,Yes,,,,ok,N
4015,Testosterone_total,Total testosterone levels,0,REPRODUCTIVE TRAITS,,,simple,Exact match,testosterone measurement,EFO_0004908,EFO_0004908,,Yes,no,,testosterone measurement - EFO_0004908,yes,Accept Lizzy's suggestion,N
4248,Testosterone_bioavailable,Bioavailable testosterone levels,0,REPRODUCTIVE TRAITS,32042192,yes,simple,Exact match,testosterone measurement,EFO_0004908,EFO_0004908,,No,Yes,yes,,,ok,N
3596,Ap-LM,Appendicular lean body mass,0,MUSCULOSKELETAL,,,simple,Exact match,appendicular lean mass,EFO_0004980,EFO_0004980,,Yes,Yes,,,,ok,N
4239,Myasthenia_gravis_early,Early-onset myasthenia gravis,1,IMMUNOLOGICAL,35074870,yes,complex,Match to parent,Myasthenia gravis,EFO_0004991,EFO_0004991,,No,Yes,yes,,,ok,N
4238,Myasthenia_gravis,Myasthenia gravis,1,IMMUNOLOGICAL,,,simple,Exact match,Myasthenia gravis,EFO_0004991,EFO_0004991,,Yes,Yes,,,,ok,N
3595,TB-LM,Total body lean mass,0,MUSCULOSKELETAL,,,simple,Exact match,lean body mass,EFO_0004995,EFO_0004995,,No,Yes,,,,ok,N
3163,LEP,Leptin,0,LIPIDS,,,simple,Exact match,leptin measurement,EFO_0005000,EFO_0005000,,Yes,no,,,,ok,N
3164,LEPadjBMI,Leptin adj BMI,0,LIPIDS,,,simple,Match to parent,leptin measurement,EFO_0005000,EFO_0005000,,Yes,no,,,,ok,N
3301,Phe,Phenylalanine,0,METABOLITE,,,simple,Exact match,phenylalanine measurement,EFO_0005001,EFO_0005001,,Yes,no,,,,ok,N
3186,QRS,QRS interval,0,ECG TRAITS,,,simple,Exact match,QRS duration,EFO_0005055,EFO_0005055,,No,Yes,,,,ok,N
3309,Tyr,Tyrosine,0,METABOLITE,,,simple,Exact match,tyrosine measurement,EFO_0005058,EFO_0005058,,Yes,Yes,,,,ok,N
3631,BasoCount,Basophil count,0,HEMATOLOGICAL,,,simple,Exact match,basophil count,EFO_0005090,EFO_0005090,,Yes,Yes,,,,ok,N
3630,MonoCount,Monocyte count,0,HEMATOLOGICAL,,,simple,Exact match,monocyte count,EFO_0005091,EFO_0005091,,Yes,Yes,,,,ok,N
3144,HIPC,Hip circumference,0,ANTHROPOMETRIC,,,simple,Exact match,hip circumference,EFO_0005093,EFO_0005093,,Yes,Yes,,,,ok,N
3185,Pwave_duration,P-wave duration,0,ECG TRAITS,,,simple,Exact match,P wave duration,EFO_0005094,EFO_0005094,,Yes,Yes,,,,ok,N
3267,2hrFFA,2hr plasma free fatty acids,0,LIPIDS,,,simple,Match to parent,fatty acid measurement,EFO_0005110,EFO_0005110,,No,no,No,,,ok,N
3284,FastFFA,Fasting plasma free fatty acids,0,LIPIDS,,,simple,Match to parent,fatty acid measurement,EFO_0005110,EFO_0005110,,No,no,No,,,ok,N
3297,MUFA,Total monounsaturated fatty acids,0,LIPIDS,,,simple,Match to parent,fatty acid measurement,EFO_0005110,EFO_0005110,,No,no,No,,,ok,N
3300,PUFA,Total polyunsaturated fatty acids,0,LIPIDS,,,simple,Match to parent,fatty acid measurement,EFO_0005110,EFO_0005110,,No,no,No,,,ok,N
3305,SFA,Total saturated fatty acids,0,LIPIDS,,,simple,Match to parent,fatty acid measurement,EFO_0005110,EFO_0005110,,No,no,No,,,ok,N
4061,GestationalDur,"Gestational duration, maternal genotype effect",0,REPRODUCTIVE TRAITS,37012456,yes,simple,Match to parent,"gestational age, parental genotype effect measurement ","EFO_0005112,EFO_0005939","EFO_0005112,EFO_0005939",,No,no,yes,,yes,add parental genotype effect measurement (EFO_0005939),N
4493,GestationalDurationFetal,Gestational age at birth (fetal GWAS),0,REPRODUCTIVE TRAITS,31477735,yes,simple,Match to parent,"gestational age, fetal genotype effect measurement ","EFO_0005112,EFO_0007959","EFO_0005112,EFO_0007959",,Yes,Yes,yes,,yes,Add fetal genotype effect measurement (EFO_0007959),N
4619,BirthHeadCir,Head circumference at birth,0,ANTHROPOMETRIC,,,simple,Match to parent,head circumference,EFO_0005114,EFO_0005114,,Yes,no,,,,ok,N
4620,InfantHeadCir,Head circumference at 6-30 months,0,ANTHROPOMETRIC,,,simple,Match to parent,head circumference,EFO_0005114,EFO_0005114,,Yes,Yes,,,,ok,N
4604,FT4,Free thyroxine (FT4),0,GLYCEMIC,,,simple,Match to parent,thyroxine measurement,EFO_0005130,EFO_0005130,,Yes,Yes,,,yes,Change to 'Match to parent',N
3318,2hrCPEP,Two-hour (2hr) C-peptide,0,GLYCEMIC,,,simple,Match to parent,C-peptide measurement,EFO_0005187,EFO_0005187,,Yes,Yes,,,,ok,N
4476,AmyloidBeta,Amyloid beta,0,NEUROLOGICAL,,,simple,Exact match,amyloid-beta measurement,EFO_0005194,EFO_0005194,,Yes,Yes,,,,ok,N
4377,eGFRcrea_DM,eGFRcreat (serum creatinine) in diabetes,0,RENAL,29703844,yes,complex,,"glomerular filtration rate, diabetes mellitus, creatinine measurement","EFO_0005208,EFO_0000400,EFO_0004518","EFO_0005208,EFO_0000400,EFO_0004518",,No,no,yes,,yes,"Remove creatine measurement (EFO_0010472); add creatinine measurement, EFO_0004518",N
3118,eGFRcrea,eGFRcreat (serum creatinine),0,RENAL,,,simple,Match to parent,"glomerular filtration rate, creatinine measurement","EFO_0005208,EFO_0004518","EFO_0005208,EFO_0004518",,No,no,No,,yes,"add creatinine measurement, EFO_0004518",N
4413,eGFRcrea_T1D,eGFRcreat (serum creatinine) in type 1 diabetes,0,RENAL,29703844,yes,complex,,"glomerular filtration rate, creatinine measurement, type 1 diabetes mellitus","EFO_0005208,EFO_0004518,MONDO_0005147","EFO_0005208,EFO_0004518,MONDO_0005147",,No,no,yes,,yes,"Remove creatine measurement (EFO_0010472); add creatinine measurement, EFO_0004518",N
4399,eGFRcrea_T2D,eGFRcreat (serum creatinine) in type 2 diabetes,0,RENAL,29703844,yes,complex,,"glomerular filtration rate, creatinine measurement, type 2 diabetes mellitus","EFO_0005208,EFO_0004518,MONDO_0005148","EFO_0005208,EFO_0004518,MONDO_0005148",,No,no,yes,,yes,"Remove creatine measurement (EFO_0010472); add creatinine measurement, EFO_0004518",N
3119,eGFRcys,eGFRcys (serum cystatin C),0,RENAL,,,simple,Match to parent,"glomerular filtration rate, cystatin C measurement ","EFO_0005208,EFO_0004617","EFO_0005208,EFO_0004617",,No,no,No,,yes,Add cystatin C measurement (EFO_0004617),N
4211,CCthickness,Central corneal thickness,0,OCULAR,,,simple,Exact match,central corneal thickness,EFO_0005213,EFO_0005213,,Yes,Yes,,,,ok,N
306,Stress,Acute reaction to stress,1,PSYCHIATRIC,33893285,yes,simple,Exact match,acute stress reaction,EFO_0005223,EFO_0005223,,Yes,Yes,yes,,,ok,N
3193,SleepEDS,Excessive daytime sleepiness,1,SLEEP AND CIRCADIAN,,,simple,Exact match,hypersomnia,EFO_0005246,EFO_0005246,,No,no,Yes,,,ok,N
3888,ChildSleepDuration,Sleep duration in children,0,SLEEP AND CIRCADIAN,,,complex,Match to parent,sleep duration,EFO_0005271,EFO_0005271,,Yes,Yes,,,,ok,N
334,ChildSleepDurationAdjBMI,Sleep duration in children adj BMI,0,SLEEP AND CIRCADIAN,,,complex,Match to parent,sleep duration,EFO_0005271,EFO_0005271,,Yes,Yes,,,,ok,N
3254,MeanSleepDurationRN,"Mean sleep duration, rank-normalized",0,SLEEP AND CIRCADIAN,,,simple,Exact match,sleep duration,EFO_0005271,EFO_0005271,,No,Yes,,,,ok,N
3192,SleepDuration,Sleep duration,0,SLEEP AND CIRCADIAN,,,simple,Exact match,sleep duration,EFO_0005271,EFO_0005271,,Yes,Yes,,,,ok,N
3195,SleepLong,Long sleep duration,1,SLEEP AND CIRCADIAN,,,simple,Match to parent,sleep duration,EFO_0005271,EFO_0005271,,Yes,Yes,,,,ok,N
3266,StDevSleepDurationRN,"Standard deviation of sleep duration, rank-normalized",0,SLEEP AND CIRCADIAN,,,simple,Match to parent,sleep duration,EFO_0005271,EFO_0005271,,No,Yes,,,,ok,N
4633,AIS,Adolescent idiopathic scoliosis,1,MUSCULOSKELETAL,,,simple,Exact match,adolescent idiopathic scoliosis,EFO_0005423,EFO_0005423,,Yes,Yes,,,,ok,N
3212,toastLAA,TOAST large artery atherosclerosis,1,STROKE,,,simple,Match to parent,large artery stroke,EFO_0005524,EFO_0005524,,No,no,No,large artery stroke - EFO_0005524,yes,Accept Lizzy's suggestion,N
4067,CCScLAA,CCS causative large artery atherosclerosis,1,STROKE,26708676,yes,simple,Match to parent,large artery stroke,EFO_0005524,EFO_0005524,,No,no,yes,suggested (atherosclerotic stroke is synonym),yes,ok - match to parent,N
4072,CCSpLAAmajincl,CCS phenotypic cryptogenic large artery atherosclerosis major,1,STROKE,26708676,yes,simple,Match to parent,large artery stroke,EFO_0005524,EFO_0005524,,No,no,yes,suggested (atherosclerotic stroke is synonym),yes,ok - match to parent,N
4107,Stroke_largeartery,Large artery stroke,1,STROKE,,,simple,Exact match,large artery stroke,EFO_0005524,EFO_0005524,,Yes,Yes,,,,ok,N
3227,WMH,Cerebral white matter hyperintensity volume,0,CEREBROVASCULAR MRI TRAITS,,,simple,Exact match,white matter hyperintensity measurement,EFO_0005665,EFO_0005665,,Yes,Yes,,,,ok,N
3968,WMHinCSVD,White matter hyperintensities in cerebral small vessel disease,0,CEREBROVASCULAR MRI TRAITS,32358547,yes,complex,,"white matter hyperintensity measurement, cerebral small vessel disease
","EFO_0005665,EFO_0008493","EFO_0005665,EFO_0008493",,Yes,no,yes,,,ok,N
3204,allSVS,Intracerebral hemorrhage or small vessel ischemic stroke,1,STROKE,,,simple,Match to parent,"intracerebral hemorrhage, small vessel stroke","EFO_0005669,EFO_1001504","EFO_0005669,EFO_1001504",,No,no,No,,yes,"Change to intracerebral hemorrhage (EFO_0005669), small vessel stroke        EFO_1001504",N
4463,vitDBP_GChapAdj,Vitamin D-binding protein levels adj GC haplotype,0,METABOLITE,36792583,yes,simple,Exact match - adjusted,vitamin D-binding protein measurement,EFO_0005675,EFO_0005675,,Yes,no,yes,,,ok,N
4465,vitDBP,Vitamin D-binding protein levels,0,METABOLITE,36792583,yes,simple,Exact match,vitamin D-binding protein measurement,EFO_0005675,EFO_0005675,,Yes,Yes,yes,,,ok,N
3283,FAw6,Omega-6 fatty acids,0,LIPIDS,,,simple,Exact match,omega-6 polyunsaturated fatty acid measurement,EFO_0005680,EFO_0005680,,Yes,Yes,,,,ok,N
3818,nonHDL,Non-HDL cholesterol,0,LIPIDS,34932938,,simple,Exact match,non-high density lipoprotein cholesterol measurement,EFO_0005689,EFO_0005689,,No,no,Yes,,,ok,N
3302,PulsePress,Pulse pressure,0,CARDIOVASCULAR,,,simple,Exact match,pulse pressure measurement,EFO_0005763,EFO_0005763,,Yes,Yes,,,,ok,N
4489,ARHI,Age-related hearing impairment,1,AGING AND LONGEVITY,,,simple,Exact match,age-related hearing impairment,EFO_0005782,EFO_0005782,,Yes,Yes,,,,ok,N
293,AllergicRhinitis,Allergic rhinitis,1,IMMUNOLOGICAL,,,simple,Exact match,allergic rhinitis,EFO_0005854,EFO_0005854,,Yes,Yes,,,,ok,N
4472,OPLL,Ossification of the spinal posterior longitudinal ligament,1,MUSCULOSKELETAL,,,simple,Exact match,ossification of the posterior longitudinal ligament of the spine,EFO_0005895,EFO_0005895,,Yes,Yes,,,,ok,N
4594,WeightLossRate,Rate of weight loss (kg/week),0,ANTHROPOMETRIC,,,simple,Match to parent,longitudinal BMI measurement,EFO_0005937,EFO_0005937,,Yes,no,,longitudinal BMI measurement - EFO_0005937,yes,Accept Lizzy's suggestion,N
4593,WeightLossTotal,Total weight loss (kg),0,ANTHROPOMETRIC,,,simple,Exact match,longitudinal BMI measurement,EFO_0005937,EFO_0005937,,Yes,no,,longitudinal BMI measurement - EFO_0005937,yes,Accept Lizzy's suggestion,N
